year,region,citizenship,immigration,population,immigration_ratio,citizenship_ratio
1998,St. Gallen,1002,3200,83932,0.03812610208263833,0.011938235714626126
1998,Switzerland,21277,72202,1375158,0.05250451220877892,0.015472403898315685
1998,Thurgau,511,1238,43337,0.02856681357731269,0.011791309966079794
1998,Ticino,1482,2401,81158,0.02958426772468518,0.018260676704699476
1998,Uri,43,135,3138,0.043021032504780114,0.013702995538559592
1998,Valais,508,2652,46057,0.0575808237618603,0.011029810886510194
1998,Vaud,2220,10910,157296,0.06935967856779575,0.014113518462007934
1998,Zug,206,1037,17689,0.05862400361806772,0.011645655492113743
1998,Zürich,5200,13518,249133,0.054260174284418365,0.020872385432680537
1999,Aargau,1325,4096,98757,0.04147554097431068,0.013416770456777747
1999,Appenzell Ausserrhoden,82,380,7576,0.0501583949313622,0.01082365364308342
1999,Appenzell Innerrhoden,27,82,1523,0.05384110308601445,0.01772816808929744
1999,Basel-Landschaft,494,2160,41789,0.05168824331761947,0.011821292684677786
1999,Basel-Stadt,502,2609,50263,0.051906969341264944,0.009987465929212343
1999,Bern,1349,7164,108208,0.06620582581694515,0.012466730740795505
1999,Fribourg,433,2301,32133,0.07160862664550462,0.013475243519123643
1999,Genève,2745,12392,149923,0.08265576329182314,0.01830939882473003
1999,Glarus,96,278,7669,0.03624983700612857,0.012517929325857349
1999,Graubünden,285,1483,24976,0.059377001921844974,0.011410954516335682
1999,Jura,92,365,8281,0.04407680231856056,0.011109769351527594
1999,Luzern,765,3175,50329,0.06308490134912277,0.015199984104591786
1999,Neuchâtel,675,1968,36841,0.05341874541950544,0.018321978230775495
1999,Nidwalden,65,281,3458,0.08126084441873915,0.018796992481203006
1999,No indication,0,0,0,,
1999,Obwalden,28,275,3381,0.0813368825791186,0.008281573498964804
1999,Schaffhausen,220,647,14301,0.0452415914970981,0.015383539612614502
1999,Schwyz,126,947,19240,0.04922037422037422,0.006548856548856549
1999,Solothurn,299,1570,38989,0.0402677678319526,0.007668829669906897
1999,St. Gallen,1112,3918,84955,0.04611853334118062,0.013089282561356013
1999,Switzerland,20363,83677,1383645,0.06047577232599402,0.014716925222871474
1999,Thurgau,526,1438,42995,0.03344574950575648,0.012233980695429702
1999,Ticino,2076,3361,80399,0.041804002537344995,0.025821216681799524
1999,Uri,44,158,3003,0.052614052614052616,0.014652014652014652
1999,Valais,359,2864,45611,0.06279187038214466,0.007870908333516037
1999,Vaud,1242,11544,159454,0.07239705495001693,0.007789080236306396
1999,Zug,173,1146,18075,0.06340248962655602,0.009571230982019363
1999,Zürich,5223,17075,251516,0.06788832519601139,0.020766074524085944
2000,Aargau,1796,3998,100626,0.039731282173593306,0.017848269830858823
2000,Appenzell Ausserrhoden,96,350,7567,0.04625346901017576,0.01268666578564821
2000,Appenzell Innerrhoden,20,96,1537,0.062459336369551074,0.013012361743656473
2000,Basel-Landschaft,712,1989,43021,0.04623323493177751,0.016550056948931916
2000,Basel-Stadt,983,2921,50634,0.057688509697041514,0.019413832602599043
2000,Bern,2111,7281,110577,0.06584551941181259,0.019090769328160468
2000,Fribourg,560,2331,32856,0.07094594594594594,0.01704407109812515
2000,Genève,4715,13003,152364,0.08534168176209603,0.030945630201359903
2000,Glarus,92,246,7674,0.03205629397967162,0.01198853270784467
2000,Graubünden,301,1650,24792,0.06655372700871248,0.012141013230074217
2000,Jura,107,379,8280,0.04577294685990338,0.012922705314009662
2000,Luzern,1254,3337,51376,0.06495250700716287,0.02440828402366864
2000,Neuchâtel,484,2213,36832,0.06008362293657689,0.013140747176368376
2000,Nidwalden,104,289,3542,0.0815923207227555,0.029361942405420668
2000,No indication,0,0,0,,
2000,Obwalden,38,284,3484,0.08151549942594719,0.010907003444316877
2000,Schaffhausen,324,672,14447,0.04651484737315706,0.022426801412057867
2000,Schwyz,204,880,19675,0.04472681067344346,0.01036848792884371
2000,Solothurn,537,1537,39768,0.038649165157915916,0.013503319251659625
2000,St. Gallen,1136,3472,86679,0.04005583820763968,0.01310582724766091
2000,Switzerland,28700,84200,1406630,0.05985938022081144,0.02040337544343573
2000,Thurgau,713,1392,43040,0.03234200743494424,0.016565985130111524
2000,Ticino,2403,3064,80327,0.03814408604827767,0.029915221531987998
2000,Uri,56,184,2961,0.06214116852414725,0.018912529550827423
2000,Valais,536,2903,45857,0.06330549316353011,0.011688509933052751
2000,Vaud,2245,11259,162609,0.06923970997915245,0.013806123892281485
2000,Zug,300,1374,18618,0.07379954882371899,0.016113438607798906
2000,Zürich,6873,17096,257487,0.06639558501982624,0.026692609723986065
2001,Aargau,1280,5319,101817,0.05224078493768231,0.012571574491489634
2001,Appenzell Ausserrhoden,275,381,7479,0.05094263939029282,0.036769621607166736
2001,Appenzell Innerrhoden,43,112,1549,0.07230471271788251,0.02775984506132989
2001,Basel-Landschaft,757,2753,43595,0.06314944374354857,0.017364376648698245
2001,Basel-Stadt,1124,3647,50813,0.07177297148367544,0.022120323539251766
2001,Bern,2037,9185,110946,0.08278802300218124,0.01836028338110432
2001,Fribourg,727,2751,33034,0.08327783495792214,0.02200762850396561
2001,Genève,4244,13683,153321,0.08924413485432524,0.027680487343547198
2001,Glarus,129,348,7565,0.04600132187706543,0.0170522141440846
2001,Graubünden,343,1867,24289,0.07686607106097411,0.014121618839804027
2001,Jura,169,512,8259,0.06199297735803366,0.020462525729507203
2001,Luzern,753,4352,51448,0.08459026589954906,0.014636137459182087
2001,Neuchâtel,653,2425,36854,0.0658001845118576,0.017718565148966192
2001,Nidwalden,75,345,3490,0.0988538681948424,0.02148997134670487
2001,No indication,0,0,0,,
2001,Obwalden,71,342,3458,0.0989010989010989,0.0205320994794679
2001,Schaffhausen,384,793,14406,0.05504650839927808,0.026655560183256977
2001,Schwyz,207,1358,19483,0.06970179130524047,0.010624647128265668
2001,Solothurn,368,2142,39980,0.0535767883941971,0.009204602301150576
2001,St. Gallen,1416,4443,87499,0.050777723173979133,0.01618304209190962
2001,Switzerland,27583,99746,1412937,0.07059479651251259,0.019521747961869496
2001,Thurgau,440,1923,42676,0.04506045552535383,0.010310244633986316
2001,Ticino,1667,3369,78724,0.042795081550734214,0.021175245160306895
2001,Uri,64,155,2836,0.05465444287729196,0.022566995768688293
2001,Valais,541,3378,45175,0.07477587161040399,0.011975650249031545
2001,Vaud,2339,12059,163970,0.07354394096481064,0.01426480453741538
